DATETIME_10M,HOST,CNT
20181103002000,platform2,1417
20181102093000,gcs5,3
20181102093000,dn03,1
20181102095000,KVMHost02,4
20181102224000,gcs6,3
20181102172000,dn02,1
20181102180000,tsdn-db,155
20181102080000,hadoop01,5
20181102082000,tsdn-svr1,198
20181102083000,tsdn-svr1,229
20181102204000,gcs5,3
20181102233000,hadoop04,1
20181103000000,hadoop04,9
20181102150000,hadoop02,6
20181102130000,hadoop03,6
20181103024000,DB-01,1
20181102104000,KVMHost02,8
20181102213000,DB-01,1
20181103004000,KVMHost01,1
20181102091000,dn03,1
20181102223000,gcs1,4292
20181102200000,gcs1,4376
20181102084000,gcs7,105
20181102215000,DB-01,1
20181102153000,tsdn-db,146
20181102154000,gcs3,3
20181103081000,hadoop02,1
20181102165000,gcs5,3
20181102141000,hadoop01,1
20181102142000,gcs5,3
20181102184000,hadoop01,1
20181102185000,platform2,1418
20181102185000,gcs6,3
20181103053000,ans41,47
20181103092000,KVMHost02,8
20181102083000,gcs1,4292
20181102190000,KVMHost02,16
20181103060000,dn02,6
20181103065000,KVMHost02,4
